,column,row,z_axis,cell_states
317,2618.0,4237.0,24.0,aCM1
318,2022.0,4265.0,24.0,aCM1
319,2494.0,4313.0,8.0,aCM1
320,2094.0,4337.0,20.0,aCM1
321,2258.0,4385.0,24.0,aCM1
322,2626.0,4405.0,24.0,aCM1
323,2670.0,4465.0,20.0,aCM1
324,2650.0,4529.0,8.0,aCM3
325,2098.0,4537.0,16.0,aCM1
326,2218.0,4577.0,16.0,aCM1
327,2471.0,5254.0,15.0,aCM3
328,2133.0,4591.0,23.0,aCM1
329,1941.0,4663.0,1.0,aCM3
330,2246.0,5470.0,11.0,aCM1
331,2727.0,5461.0,11.0,aCM1
332,2426.0,4609.0,16.0,aCM1
333,2622.0,4613.0,24.0,aCM1
334,2662.0,4617.0,16.0,aCM1
335,2550.0,4641.0,16.0,aCM3
336,2374.0,4693.0,20.0,aCM1
337,2038.0,4725.0,24.0,aCM1
338,2242.0,4725.0,24.0,aCM3
339,2346.0,4797.0,24.0,aCM1
340,2622.0,4801.0,20.0,aCM3
341,2466.0,4809.0,4.0,aCM1
342,1930.0,4821.0,20.0,aCM3
343,2578.0,4841.0,4.0,aCM1
344,2690.0,4865.0,16.0,aCM1
345,2246.0,4897.0,24.0,aCM1
346,2330.0,4989.0,20.0,aCM3
347,2446.0,4993.0,12.0,aCM1
348,2038.0,4997.0,16.0,aCM1
349,2590.0,5025.0,24.0,aCM1
350,2142.0,5033.0,16.0,aCM1
351,2510.0,5041.0,16.0,aCM3
352,2206.0,5049.0,16.0,aCM1
353,2102.0,5077.0,20.0,aCM1
354,2790.0,5077.0,24.0,aCM1
355,2670.0,5109.0,24.0,aCM3
356,1982.0,5173.0,16.0,aCM1
357,2310.0,5197.0,4.0,aCM3
358,2354.0,5313.0,16.0,aCM1
359,2554.0,5325.0,0.0,aCM1
360,2210.0,5341.0,4.0,aCM1
361,2534.0,5373.0,4.0,aCM3
362,1926.0,5389.0,12.0,aCM1
363,2294.0,5389.0,4.0,aCM3
364,2698.0,5401.0,8.0,aCM1
365,1990.0,5453.0,24.0,aCM1
366,2160.0,5681.0,19.0,aCM3
367,1998.0,5800.0,15.0,aCM1
368,2210.0,6085.0,23.0,aCM1
369,2449.0,5953.0,23.0,aCM1
370,2563.0,5513.0,20.0,aCM1
371,2775.0,5577.0,8.0,aCM1
372,2471.0,5613.0,12.0,aCM3
373,2051.0,5621.0,16.0,aCM3
374,2283.0,5621.0,12.0,aCM3
375,2639.0,5637.0,16.0,aCM3
376,2119.0,5685.0,24.0,aCM3
377,2351.0,5713.0,16.0,aCM1
378,2451.0,5765.0,4.0,aCM1
379,2515.0,5773.0,16.0,aCM3
380,2099.0,5801.0,24.0,aCM1
381,2567.0,5849.0,8.0,aCM1
382,2251.0,5893.0,20.0,aCM3
383,2363.0,6009.0,0.0,aCM1
384,2459.0,6085.0,20.0,aCM1
385,2771.0,6085.0,24.0,aCM1
386,2447.0,6161.0,24.0,aCM1
387,2707.0,6193.0,8.0,aCM2
388,2427.0,6229.0,8.0,aCM1
389,2219.0,6253.0,4.0,aCM3
390,2711.0,6301.0,24.0,aCM1
391,2339.0,6377.0,24.0,aCM1
392,2055.0,6401.0,12.0,aCM1
393,2589.0,6913.0,15.0,aCM3
394,2091.0,6750.0,11.0,aCM3
395,2651.0,6463.0,16.0,aCM1
396,2575.0,6519.0,24.0,aCM3
397,2383.0,6615.0,20.0,aCM3
398,2495.0,6675.0,4.0,aCM1
399,2175.0,6691.0,8.0,aCM1
400,2503.0,6775.0,4.0,aCM1
401,2163.0,6807.0,12.0,aCM1
402,2307.0,6847.0,12.0,aCM1
403,1955.0,6855.0,24.0,aCM1
404,2775.0,6875.0,8.0,aCM1
405,2607.0,6879.0,12.0,aCM3
406,1959.0,6907.0,16.0,aCM1
407,2507.0,6927.0,8.0,aCM1
408,2747.0,7007.0,8.0,aCM1
409,2091.0,7015.0,24.0,aCM1
410,2431.0,7063.0,24.0,aCM1
411,1967.0,7091.0,12.0,aCM1
412,2219.0,7111.0,8.0,aCM1
413,1963.0,7139.0,12.0,aCM1
414,2167.0,7143.0,24.0,aCM1
415,2683.0,7159.0,8.0,aCM1
416,2387.0,7179.0,16.0,aCM1
417,2611.0,7251.0,8.0,aCM1
418,2679.0,7315.0,20.0,aCM1
419,1959.0,7327.0,24.0,aCM1
420,2010.0,7391.0,23.0,aCM1
421,2247.0,7368.0,16.0,aCM1
422,1895.0,7404.0,16.0,aCM1
423,2559.0,7404.0,12.0,aCM1
424,2163.0,7424.0,24.0,aCM1
425,2475.0,7552.0,24.0,aCM1
426,2199.0,7572.0,12.0,aCM1
